,id,url,name,artist,album,explicit,popularity,duration_ms,key,mode,time_signature,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
259,48x8fBWfyeSMzLl5gbsjr9,https://open.spotify.com/track/48x8fBWfyeSMzLl5gbsjr9,COME THRU,Joji,BALLADS 1,True,64,153168,0,1,4,0.66,0.596,0.0358,0.163,0.86,0.109,0.0757,77.02600000000001,0
260,1DMEzmAoQIikcL52psptQL,https://open.spotify.com/track/1DMEzmAoQIikcL52psptQL,TEST DRIVE,Joji,BALLADS 1,True,73,179423,3,1,4,0.6459999999999999,0.648,0.0372,0.71,0.00316,0.10800000000000001,0.466,75.00399999999999,0
261,1VGzxJnVQND7Cg5H5wGj14,https://open.spotify.com/track/1VGzxJnVQND7Cg5H5wGj14,YEAH RIGHT,Joji,BALLADS 1,True,78,174357,1,1,4,0.672,0.588,0.133,0.619,0.24100000000000002,0.0992,0.204,169.033,0
262,39oeKRgsLeynDIbWuXyA47,https://open.spotify.com/track/39oeKRgsLeynDIbWuXyA47,CAN'T GET OVER YOU (feat. Clams Casino),Joji,BALLADS 1,False,75,107076,9,1,4,0.9,0.316,0.332,0.684,0.0771,0.0853,0.8440000000000001,129.914,0
263,0rKtyWc8bvkriBthvHKY8d,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d,SLOW DANCING IN THE DARK,Joji,BALLADS 1,True,84,209273,3,1,4,0.515,0.479,0.0261,0.544,0.00598,0.191,0.284,88.964,0
264,5ssuMBqBwZbxN8BCIX5sLo,https://open.spotify.com/track/5ssuMBqBwZbxN8BCIX5sLo,Everything That Isn't Me,Lukas Graham,3 (The Purple Album),False,47,197746,8,1,4,0.7020000000000001,0.413,0.0961,0.626,3.96e-05,0.10300000000000001,0.263,75.832,0
265,6iuKYlSk5PxQ3P8O4OrLcj,https://open.spotify.com/track/6iuKYlSk5PxQ3P8O4OrLcj,Lullaby,Lukas Graham,3 (The Purple Album),False,47,191813,10,1,4,0.6579999999999999,0.493,0.0303,0.077,0.0,0.10800000000000001,0.524,139.829,0
266,2GUMnvJq9GUWH5d9XRgTeP,https://open.spotify.com/track/2GUMnvJq9GUWH5d9XRgTeP,You're Not the Only One (Redemption Song),Lukas Graham,3 (The Purple Album),False,51,183640,9,1,4,0.653,0.419,0.0414,0.293,0.0,0.111,0.366,98.98299999999999,0
267,0OCRwXbQRdOZ1OtB4Imsp1,https://open.spotify.com/track/0OCRwXbQRdOZ1OtB4Imsp1,Love Someone,Lukas Graham,3 (The Purple Album),False,71,205440,9,0,4,0.5379999999999999,0.409,0.0505,0.172,0.0,0.11,0.265,171.838,0
268,1xRn1GOSJCqf0HxFEB200o,https://open.spotify.com/track/1xRn1GOSJCqf0HxFEB200o,Promise,Lukas Graham,3 (The Purple Album),False,46,194120,6,0,3,0.767,0.508,0.0457,0.39799999999999996,0.0,0.136,0.687,95.97,0
